name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-31030,58542,26,61.11470354,53.1602,98.0645,0.0001335,94.9802,265.1351,918.1204404,3.1297e-05,U,active,1 58542U 23192M   26061.11470354  .00000568  00000+0  31297-4 0  9995,2 58542  53.1602  98.0645 0001335  94.9802 265.1351 15.30200734124824,6853.349877828504,94.10530056640268,482.34987782850385
STARLINK-31049,58543,26,61.11787284,53.1588,98.0825,0.000114,70.003,290.1093,918.118425,1.1571e-05,U,active,1 58543U 23192N   26061.11787284 -.00000016  00000+0  11571-4 0  9991,2 58543  53.1588  98.0825 0001140  70.0030 290.1093 15.30197375124827,6853.359907207368,94.10550714086801,482.35990720736845
STARLINK-31048,58544,26,61.07882529,53.15970000000001,97.7966,0.0001382,94.18,265.9359,918.1156182000001,-8.5137e-05,U,active,1 58544U 23192P   26061.07882529 -.00002879  00000+0 -85137-4 0  9994,2 58544  53.1597  97.7966 0001382  94.1800 265.9359 15.30192697124827,6853.373874947672,94.10579483376007,482.37387494767245
STARLINK-31057,58545,26,60.4025779,53.1581,101.4393,0.0001155,73.4398,286.6729,918.1171614000001,0.00011597,U,active,1 58545U 23192Q   26060.40257790  .00003076  00000+0  11597-3 0  9993,2 58545  53.1581 101.4393 0001155  73.4398 286.6729 15.30195269124715,6853.36619536895,94.10563665780096,482.3661953689498
STARLINK-31050,58546,26,61.12420203,53.1592,98.1214,0.0001132,94.072,266.04100000000005,918.1196766,1.2070000000000001e-05,U,active,1 58546U 23192R   26061.12420203 -.00000002  00000+0  12070-4 0  9990,2 58546  53.1592  98.1214 0001132  94.0720 266.0410 15.30199461124824,6853.353678776641,94.10537885426689,482.35367877664066
STARLINK-31063,58547,26,61.06835806,53.1602,87.8005,0.0001386,78.562,281.5537,918.1153043999999,1.5192000000000001e-05,U,active,1 58547U 23192S   26061.06835806  .00000091  00000+0  15192-4 0  9998,2 58547  53.1602  87.8005 0001386  78.5620 281.5537 15.30192174124968,6853.375436544267,94.10582699791014,482.37543654426736
STARLINK-31016,58548,26,61.08198736,53.1601,97.8159,0.0001263,93.5173,266.5972,918.1161132000002,1.1708e-05,U,active,1 58548U 23192T   26061.08198736 -.00000012  00000+0  11708-4 0  9998,2 58548  53.1601  97.8159 0001263  93.5173 266.5972 15.30193522124822,6853.371411627892,94.10574409685678,482.3714116278916
STARLINK-31053,58549,26,61.12736897,53.15740000000001,98.1413,0.000118,90.9924,269.1212,918.1205441999998,0.00012975,U,active,1 58549U 23192U   26061.12736897  .00003486  00000+0  12975-3 0  9993,2 58549  53.1574  98.1413 0001180  90.9924 269.1212 15.30200907124824,6853.349361282149,94.10528992713505,482.3493612821494
STARLINK-31056,58550,26,61.15047462,53.1601,97.5778,0.0001103,101.0018,259.1107,918.1167012000001,-2.2432e-05,U,active,1 58550U 23192V   26061.15047462 -.00001023  00000+0 -22432-4 0  9998,2 58550  53.1601  97.5778 0001103 101.0018 259.1107 15.30194502124833,6853.368485505454,94.1056838276367,482.3684855054544
STARLINK-30999,58551,26,60.45740805,53.1589,91.0086,0.0001283,102.0201,258.0943,918.1169286,8.0565e-05,U,active,1 58551U 23192W   26060.45740805  .00002027  00000+0  80565-4 0  9996,2 58551  53.1589  91.0086 0001283 102.0201 258.0943 15.30194881124863,6853.367353873227,94.10566051945902,482.36735387322733
STARLINK-31046,58552,26,61.13475611,53.1594,98.185,0.0001149,93.542,266.5713,918.1181562000002,3.4378e-05,U,active,1 58552U 23192X   26061.13475611  .00000659  00000+0  34378-4 0  9993,2 58552  53.1594  98.1850 0001149  93.5420 266.5713 15.30196927124823,6853.361244858766,94.10553469239844,482.36124485876644
HONGHU 2,58555,26,61.1406001,97.2759,54.8302,0.0038854,292.5845,67.1281,911.4581826000001,0.013572,U,active,1 58555U 23193C   26061.14060010  .00301727  00000+0  13572-1 0  9991,2 58555  97.2759  54.8302 0038854 292.5845  67.1281 15.19096971 85729,6886.70546930695,94.79315853365624,515.7054693069504
YAOGAN-39 05A,58557,26,61.1856215,35.0028,10.3033,0.0004819,55.29480000000001,304.8221,913.8290370000001,0.00068558,U,active,1 58557U 23194A   26061.18562150  .00016543  00000+0  68558-3 0  9995,2 58557  35.0028  10.3033 0004819  55.2948 304.8221 15.23048395124035,6874.788984960212,94.54722546751378,503.78898496021156
YAOGAN-39 05B,58558,26,61.17759,34.9936,28.1849,0.0008692,79.6281,280.5411,909.9076481999999,0.00038367,U,active,1 58558U 23194B   26061.17759000  .00007629  00000+0  38367-3 0  9997,2 58558  34.9936  28.1849 0008692  79.6281 280.5411 15.16512747123834,6894.526807640423,94.95469146887429,523.5268076404227
YAOGAN-39 05C,58559,26,61.18289001,34.9933,28.196600000000004,0.0012791,166.15520000000004,193.9513,909.9237192,0.0004177,U,active,1 58559U 23194C   26061.18289001  .00008326  00000+0  41770-3 0  9995,2 58559  34.9933  28.1966 0012791 166.1552 193.9513 15.16539532123864,6894.445627013847,94.9530143867031,523.4456270138471
